,ts_code,name,industry_detail,industry
902,002448.SZ,中原内配,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
903,002449.SZ,国星光电,电子-光学光电子-LED,电子
904,002450.SZ,*ST康得,化工-塑料-其他塑料制品,化工
905,002451.SZ,摩恩电气,电气设备-高低压设备-线缆部件及其他,电气设备
906,002452.SZ,长高集团,电气设备-高低压设备-高压设备,电气设备
907,002453.SZ,华软科技,化工-化学制品-其他化学制品,化工
908,002454.SZ,松芝股份,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
909,002455.SZ,百川股份,化工-化学制品-其他化学制品,化工
910,002456.SZ,欧菲光,电子-光学光电子-光学元件,电子
911,002457.SZ,青龙管业,建筑材料-其他建材Ⅱ-管材,建筑材料
912,002458.SZ,益生股份,农林牧渔-畜禽养殖Ⅱ-畜禽养殖Ⅲ,农林牧渔
913,002459.SZ,晶澳科技,机械设备-专用设备-工程机械,机械设备
914,002460.SZ,赣锋锂业,有色金属-稀有金属-锂,有色金属
915,002461.SZ,珠江啤酒,食品饮料-饮料制造-啤酒,食品饮料
916,002462.SZ,嘉事堂,医药生物-医药商业Ⅱ-医药商业Ⅲ,医药生物
917,002463.SZ,沪电股份,电子-元件Ⅱ-印制电路板,电子
918,002464.SZ,众应互联,传媒-互联网传媒-互联网信息服务,传媒
919,002465.SZ,海格通信,国防军工-地面兵装Ⅱ-地面兵装Ⅲ,国防军工
920,002466.SZ,天齐锂业,有色金属-稀有金属-锂,有色金属
921,002467.SZ,二六三,通信-通信运营Ⅱ-通信运营Ⅲ,通信
922,002468.SZ,申通快递,交通运输-物流Ⅱ-物流Ⅲ,交通运输
923,002469.SZ,三维工程,建筑装饰-专业工程-化学工程,建筑装饰
924,002470.SZ,*ST金正,化工-化学制品-复合肥,化工
925,002471.SZ,中超控股,电气设备-高低压设备-线缆部件及其他,电气设备
926,002472.SZ,双环传动,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
927,002473.SZ,ST圣莱,家用电器-白色家电-小家电,家用电器
928,002474.SZ,榕基软件,计算机-计算机应用-IT服务,计算机
929,002475.SZ,立讯精密,电子-电子制造-电子零部件制造,电子
930,002476.SZ,宝莫股份,化工-化学制品-其他化学制品,化工
931,002478.SZ,常宝股份,钢铁-钢铁Ⅱ-特钢,钢铁
932,002479.SZ,富春环保,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,公用事业
933,002480.SZ,新筑股份,机械设备-通用机械-机械基础件,机械设备
934,002481.SZ,双塔食品,食品饮料-食品加工-食品综合,食品饮料
935,002482.SZ,广田集团,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑装饰
936,002483.SZ,润邦股份,机械设备-专用设备-重型机械,机械设备
937,002484.SZ,江海股份,电子-元件Ⅱ-被动元件,电子
938,002485.SZ,希努尔,纺织服装-服装家纺-男装,纺织服装
